+2.0930000E+00	+2.9219663E-04	-6.1076247E-05
+2.0940000E+00	+2.9323376E-04	-6.1570952E-05
+2.0950000E+00	+2.9427709E-04	-6.2069760E-05
+2.0960000E+00	+2.9532666E-04	-6.2572719E-05
+2.0970000E+00	+2.9638253E-04	-6.3079876E-05
+2.0980000E+00	+2.9744477E-04	-6.3591282E-05
+2.0990000E+00	+2.9851341E-04	-6.4106985E-05
+2.1000000E+00	+2.9958853E-04	-6.4627036E-05
+2.1010000E+00	+3.0067017E-04	-6.5151486E-05
+2.1020000E+00	+3.0175840E-04	-6.5680388E-05
+2.1030000E+00	+3.0285327E-04	-6.6213793E-05
+2.1040000E+00	+3.0395484E-04	-6.6751756E-05
+2.1050000E+00	+3.0506318E-04	-6.7294331E-05
+2.1060000E+00	+3.0617834E-04	-6.7841572E-05
+2.1070000E+00	+3.0730039E-04	-6.8393537E-05
+2.1080000E+00	+3.0842939E-04	-6.8950282E-05
+2.1090000E+00	+3.0956540E-04	-6.9511864E-05
+2.1100000E+00	+3.1070848E-04	-7.0078343E-05
+2.1110000E+00	+3.1185870E-04	-7.0649778E-05
+2.1120000E+00	+3.1301612E-04	-7.1226229E-05
+2.1130000E+00	+3.1418081E-04	-7.1807759E-05
+2.1140000E+00	+3.1535284E-04	-7.2394428E-05
+2.1150000E+00	+3.1653227E-04	-7.2986302E-05
+2.1160000E+00	+3.1771918E-04	-7.3583443E-05
+2.1170000E+00	+3.1891362E-04	-7.4185918E-05
+2.1180000E+00	+3.2011568E-04	-7.4793794E-05
+2.1190000E+00	+3.2132542E-04	-7.5407136E-05
+2.1200000E+00	+3.2254291E-04	-7.6026015E-05
+2.1210000E+00	+3.2376822E-04	-7.6650500E-05
+2.1220000E+00	+3.2500143E-04	-7.7280662E-05
+2.1230000E+00	+3.2624262E-04	-7.7916572E-05
+2.1240000E+00	+3.2749185E-04	-7.8558304E-05
+2.1250000E+00	+3.2874921E-04	-7.9205931E-05
+2.1260000E+00	+3.3001477E-04	-7.9859531E-05
+2.1270000E+00	+3.3128860E-04	-8.0519179E-05
+2.1280000E+00	+3.3257079E-04	-8.1184953E-05
+2.1290000E+00	+3.3386142E-04	-8.1856933E-05
+2.1300000E+00	+3.3516057E-04	-8.2535200E-05
+2.1310000E+00	+3.3646831E-04	-8.3219834E-05
+2.1320000E+00	+3.3778474E-04	-8.3910921E-05
+2.1330000E+00	+3.3910993E-04	-8.4608543E-05
+2.1340000E+00	+3.4044397E-04	-8.5312789E-05
+2.1350000E+00	+3.4178694E-04	-8.6023744E-05
+2.1360000E+00	+3.4313894E-04	-8.6741498E-05
+2.1370000E+00	+3.4450005E-04	-8.7466142E-05
+2.1380000E+00	+3.4587035E-04	-8.8197768E-05
+2.1390000E+00	+3.4724995E-04	-8.8936469E-05
+2.1400000E+00	+3.4863892E-04	-8.9682341E-05
+2.1410000E+00	+3.5003737E-04	-9.0435481E-05
+2.1420000E+00	+3.5144538E-04	-9.1195987E-05
+2.1430000E+00	+3.5286305E-04	-9.1963960E-05
+2.1440000E+00	+3.5429048E-04	-9.2739502E-05
+2.1450000E+00	+3.5572776E-04	-9.3522716E-05
+2.1460000E+00	+3.5717499E-04	-9.4313708E-05
+2.1470000E+00	+3.5863227E-04	-9.5112585E-05
+2.1480000E+00	+3.6009971E-04	-9.5919458E-05
+2.1490000E+00	+3.6157739E-04	-9.6734437E-05
+2.1500000E+00	+3.6306544E-04	-9.7557636E-05
+2.1510000E+00	+3.6456394E-04	-9.8389169E-05
+2.1520000E+00	+3.6607301E-04	-9.9229155E-05
+2.1530000E+00	+3.6759276E-04	-1.0007771E-04
+2.1540000E+00	+3.6912328E-04	-1.0093496E-04
+2.1550000E+00	+3.7066470E-04	-1.0180103E-04
+2.1560000E+00	+3.7221713E-04	-1.0267604E-04
+2.1570000E+00	+3.7378067E-04	-1.0356013E-04
+2.1580000E+00	+3.7535544E-04	-1.0445341E-04
+2.1590000E+00	+3.7694156E-04	-1.0535603E-04
+2.1600000E+00	+3.7853914E-04	-1.0626812E-04
+2.1610000E+00	+3.8014831E-04	-1.0718982E-04
+2.1620000E+00	+3.8176918E-04	-1.0812127E-04
+2.1630000E+00	+3.8340187E-04	-1.0906262E-04
+2.1640000E+00	+3.8504652E-04	-1.1001400E-04
+2.1650000E+00	+3.8670323E-04	-1.1097557E-04
+2.1660000E+00	+3.8837215E-04	-1.1194748E-04
+2.1670000E+00	+3.9005340E-04	-1.1292988E-04
+2.1680000E+00	+3.9174710E-04	-1.1392293E-04
+2.1690000E+00	+3.9345340E-04	-1.1492679E-04
+2.1700000E+00	+3.9517241E-04	-1.1594163E-04
+2.1710000E+00	+3.9690429E-04	-1.1696761E-04
+2.1720000E+00	+3.9864916E-04	-1.1800489E-04
+2.1730000E+00	+4.0040717E-04	-1.1905366E-04
+2.1740000E+00	+4.0217845E-04	-1.2011409E-04
+2.1750000E+00	+4.0396315E-04	-1.2118636E-04
+2.1760000E+00	+4.0576141E-04	-1.2227065E-04
+2.1770000E+00	+4.0757338E-04	-1.2336714E-04
+2.1780000E+00	+4.0939920E-04	-1.2447604E-04
+2.1790000E+00	+4.1123903E-04	-1.2559753E-04
